artist,disc_number,duration_ms,explicit,href,id,name,track_number,type,uri,is_local,external_urls.spotify,album,release_date,recco_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity
Taylor Swift,1,226073,FALSE,https://api.spotify.com/v1/tracks/53iuhJlwXhSER5J2IYYv1W,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,1,track,spotify:track:53iuhJlwXhSER5J2IYYv1W,FALSE,https://open.spotify.com/track/53iuhJlwXhSER5J2IYYv1W,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,208291,FALSE,https://api.spotify.com/v1/tracks/1jgTiNob5cVyXeJ3WgX5bL,1jgTiNob5cVyXeJ3WgX5bL,Elizabeth Taylor,2,track,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,FALSE,https://open.spotify.com/track/1jgTiNob5cVyXeJ3WgX5bL,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,235355,FALSE,https://api.spotify.com/v1/tracks/3yWuTOYDztXjZxdE2cIRUa,3yWuTOYDztXjZxdE2cIRUa,Opalite,3,track,spotify:track:3yWuTOYDztXjZxdE2cIRUa,FALSE,https://open.spotify.com/track/3yWuTOYDztXjZxdE2cIRUa,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,212777,TRUE,https://api.spotify.com/v1/tracks/03bTIHJElXZ0O0jqOQvAbY,03bTIHJElXZ0O0jqOQvAbY,Father Figure,4,track,spotify:track:03bTIHJElXZ0O0jqOQvAbY,FALSE,https://open.spotify.com/track/03bTIHJElXZ0O0jqOQvAbY,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,246356,TRUE,https://api.spotify.com/v1/tracks/62HoDY1Km6lm47haFpUn9c,62HoDY1Km6lm47haFpUn9c,Eldest Daughter,5,track,spotify:track:62HoDY1Km6lm47haFpUn9c,FALSE,https://open.spotify.com/track/62HoDY1Km6lm47haFpUn9c,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,220564,FALSE,https://api.spotify.com/v1/tracks/62V2ZHslgQV98gH4AuVXnr,62V2ZHslgQV98gH4AuVXnr,Ruin The Friendship,6,track,spotify:track:62V2ZHslgQV98gH4AuVXnr,FALSE,https://open.spotify.com/track/62V2ZHslgQV98gH4AuVXnr,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,163699,TRUE,https://api.spotify.com/v1/tracks/2x3mwb96B6TquRqMtbxUE1,2x3mwb96B6TquRqMtbxUE1,Actually Romantic,7,track,spotify:track:2x3mwb96B6TquRqMtbxUE1,FALSE,https://open.spotify.com/track/2x3mwb96B6TquRqMtbxUE1,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,207349,TRUE,https://api.spotify.com/v1/tracks/2TEQvxxQabwLQMqWMg1qGu,2TEQvxxQabwLQMqWMg1qGu,Wi$h Li$t,8,track,spotify:track:2TEQvxxQabwLQMqWMg1qGu,FALSE,https://open.spotify.com/track/2TEQvxxQabwLQMqWMg1qGu,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,150517,TRUE,https://api.spotify.com/v1/tracks/5ylJtmaWPJ33cW3En7WOu0,5ylJtmaWPJ33cW3En7WOu0,Wood,9,track,spotify:track:5ylJtmaWPJ33cW3En7WOu0,FALSE,https://open.spotify.com/track/5ylJtmaWPJ33cW3En7WOu0,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,211498,TRUE,https://api.spotify.com/v1/tracks/1appZ3c336FkPvCuywfmrs,1appZ3c336FkPvCuywfmrs,CANCELLED!,10,track,spotify:track:1appZ3c336FkPvCuywfmrs,FALSE,https://open.spotify.com/track/1appZ3c336FkPvCuywfmrs,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,181534,TRUE,https://api.spotify.com/v1/tracks/4qmFC3Jz5aQ0erlk2OSi2X,4qmFC3Jz5aQ0erlk2OSi2X,Honey,11,track,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,FALSE,https://open.spotify.com/track/4qmFC3Jz5aQ0erlk2OSi2X,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,241766,TRUE,https://api.spotify.com/v1/tracks/5eXgqtg3T8Av0m1FUaGHex,5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl (feat. Sabrina Carpenter),12,track,spotify:track:5eXgqtg3T8Av0m1FUaGHex,FALSE,https://open.spotify.com/track/5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl,2025-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taylor Swift,1,228965,FALSE,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),1,track,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,FALSE,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,THE TORTURED POETS DEPARTMENT,2024-04-18,cb54113d-1e71-47c2-b9f7-3f0a6dff13f6,0.502,0.504,0.386,1.53e-5,B,0.0961,-10.976,Major,0.0308,192.004,0.281,83
Taylor Swift,1,293048,TRUE,https://api.spotify.com/v1/tracks/3NMrVbIVWT3fPXBj0rNDKG,3NMrVbIVWT3fPXBj0rNDKG,The Tortured Poets Department,2,track,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,FALSE,https://open.spotify.com/track/3NMrVbIVWT3fPXBj0rNDKG,THE TORTURED POETS DEPARTMENT,2024-04-18,729109ae-7527-4699-8621-4da3e4f1d4b4,0.0483,0.604,0.428,0,C,0.126,-8.441,Major,0.0255,110.259,0.292,68
Taylor Swift,1,203801,FALSE,https://api.spotify.com/v1/tracks/2XXwLdtuAcE0HSCu61ijAb,2XXwLdtuAcE0HSCu61ijAb,My Boy Only Breaks His Favorite Toys,3,track,spotify:track:2XXwLdtuAcE0HSCu61ijAb,FALSE,https://open.spotify.com/track/2XXwLdtuAcE0HSCu61ijAb,THE TORTURED POETS DEPARTMENT,2024-04-18,cd7720f9-9d52-4ba9-8ddb-9a3977917a62,0.137,0.596,0.563,0,C,0.302,-7.362,Major,0.0269,97.073,0.481,69
